STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT01,WT02,WT08,WT03
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150122,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150123,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150124,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150125,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150126,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150127,-9999,-9999,15,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150128,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150129,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150130,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150131,-9999,-9999,8,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150201,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150202,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150203,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150204,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150205,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150206,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150207,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150208,-9999,-9999,23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150209,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150211,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150212,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150213,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1CALA0046,LA CRESCENTA MONTROSE 1.6 WNW CA US,20150214,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999
